DESTINATION,IATA_CODE,AIRLINE,AIRCRAFT,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES,WEATHER,TEMP,DEST_CODE,AIRLINE_CODE,AIRCRAFT_CODE
Naples,NAP,Swiss,A320,2025-04-28 07:05:00,07:19,2025-04-28 07:19:00,14,5,6.8,113,88,3
Gothenburg,GOT,Helvetic Airways,E290,2025-04-28 07:10:00,07:22,2025-04-28 07:22:00,12,5,6.8,66,57,43
Manchester,MAN,Helvetic Airways,E290,2025-04-28 07:05:00,07:38,2025-04-28 07:38:00,33,5,6.8,101,57,43
Barcelona,BCN,Swiss,A21N,2025-04-28 07:10:00,07:33,2025-04-28 07:33:00,23,5,6.8,13,88,1
Budapest,BUD,Air Baltic,BCS3,2025-04-28 07:10:00,07:25,2025-04-28 07:25:00,15,5,6.8,34,5,24
London,LHR,British Airways,A320,2025-04-28 07:15:00,07:31,2025-04-28 07:31:00,16,5,6.8,92,22,3
Hamburg,HAM,Swiss,BCS1,2025-04-28 07:15:00,07:35,2025-04-28 07:35:00,20,5,6.8,69,88,23
Munich,MUC,Swiss,A321,2025-04-28 07:15:00,07:41,2025-04-28 07:41:00,26,5,6.8,111,88,4
Amsterdam,AMS,Swiss,A20N,2025-04-28 07:20:00,07:48,2025-04-28 07:48:00,28,5,6.8,5,88,0
Berlin,BER,Swiss,A321,2025-04-28 07:20:00,07:52,2025-04-28 07:52:00,32,5,6.8,18,88,4
Copenhagen,CPH,Helvetic Airways,E295,2025-04-28 07:10:00,07:28,2025-04-28 07:28:00,18,5,6.8,45,57,44
Ljubljana,LJU,Swiss,A320,2025-04-28 08:55:00,09:07,2025-04-28 09:07:00,12,2,9.3,91,88,3
Nevsehir,NAV,Swiss Air,CL60,2025-04-28 08:50:00,09:19,2025-04-28 09:19:00,29,2,9.3,114,89,35
Vienna,VIE,Austrian Airlines,A320,2025-04-28 08:50:00,09:12,2025-04-28 09:12:00,22,2,9.3,175,19,3
Bologna,BLQ,Swiss,BCS1,2025-04-28 08:45:00,09:06,2025-04-28 09:06:00,21,2,9.3,24,88,23
Venice,VCE,Helvetic Airways,E190,2025-04-28 08:45:00,08:52,2025-04-28 08:52:00,7,2,9.3,174,57,41
Dusseldorf,DUS,Eurowings,A320,2025-04-28 08:45:00,09:30,2025-04-28 09:30:00,45,2,9.3,55,45,3
Luxembourg,LUX,Air Baltic,BCS3,2025-04-28 08:40:00,08:54,2025-04-28 08:54:00,14,2,9.3,95,5,24
Florence,FLR,Helvetic Airways,E295,2025-04-28 08:35:00,08:56,2025-04-28 08:56:00,21,2,9.3,60,57,44
Vienna,VIE,Fly 7,PC12,2025-04-28 08:55:00,09:03,2025-04-28 09:03:00,8,2,9.3,175,49,53
Rome,FCO,easyJet,A319,2025-04-28 08:30:00,08:34,2025-04-28 08:34:00,4,2,9.3,142,98,2
Hamburg,HAM,Air Baltic,BCS3,2025-04-28 08:30:00,08:51,2025-04-28 08:51:00,21,2,9.3,69,5,24
Berlin,BER,Swiss,BCS3,2025-04-28 08:15:00,08:27,2025-04-28 08:27:00,12,2,9.3,18,88,24
Frankfurt,FRA,Lufthansa,A319,2025-04-28 08:15:00,08:35,2025-04-28 08:35:00,20,2,9.3,61,69,2
Berlin,BER,easyJet,A320,2025-04-28 08:10:00,08:24,2025-04-28 08:24:00,14,2,9.3,18,98,3
London,LCY,Helvetic Airways,E290,2025-04-28 08:10:00,08:25,2025-04-28 08:25:00,15,2,9.3,92,57,43
Cologne,CGN,Eurowings,A320,2025-04-28 08:05:00,08:20,2025-04-28 08:20:00,15,2,9.3,43,45,3
Salzburg,SZG,Flexjet,E550,2025-04-28 08:00:00,07:59,2025-04-28 07:59:00,-1,2,9.3,144,48,47
Frankfurt,FRA,Condor,A320,2025-04-28 08:00:00,08:19,2025-04-28 08:19:00,19,2,9.3,61,29,3
Naples,NAP,easyJet,A20N,2025-04-28 08:30:00,08:41,2025-04-28 08:41:00,11,2,9.3,113,98,0
Paris,LBG,NetJets Europe,C68A,2025-04-28 08:00:00,08:23,2025-04-28 08:23:00,23,2,9.3,126,73,32
Ljubljana,LJU,NetJets Europe,E55P,2025-04-28 08:35:00,08:39,2025-04-28 08:39:00,4,2,9.3,91,73,48
